y_plus_wavy,U_plus
0.0,0.0
1.922,1.5816814654282485
4.028,2.5900936936446066
6.334,3.5198092782581263
8.861,4.423146776707363
11.627,5.343087322765632
14.658,6.260919344418652
17.977,7.138233047461472
21.613,7.949155404944868
25.595,8.68035591691199
29.957,9.330696466767574
34.734,9.909818288822693
39.967,10.4321838627224
45.698,10.910482202769703
51.975,11.352757602859125
51.976,11.360395791676924
58.851,11.768036130141168
66.382,12.157805739387005
74.63,12.528657718147826
74.631,12.525441601415116
83.665,12.875485307825224
83.666,12.876249887455126
93.561,13.207982102705515
104.4,13.52375374325966
116.271,13.824457231530435
116.272,13.823136427102407
129.275,14.106931420922184
143.517,14.372870020287385
143.518,14.373879075380929
159.116,14.621347526313043
159.117,14.619954800810907
176.203,14.845065613417319
176.204,14.846247384838462
194.917,15.044693501876637
194.918,15.044687209269295
215.415,15.213678275679769
215.416,15.213713406926155
237.867,15.345692179902725
237.868,15.345758695199999
262.458,15.431112785412289
262.459,15.431185989652244
289.393,15.46125660205757
289.394,15.461521903760257
