y_plus_wavy,U_plus
0.0,0.0
2.093,-0.1601539419511105
4.385,-0.4171574535834769
6.895,-0.6533261895962491
9.645,-0.7822161310574995
12.656,-0.7289891149811127
15.955,-0.45230103351368095
19.568,0.0704709646655984
23.525,0.9139569043985191
27.86,2.2352674920143576
32.607,3.9849575889515276
37.807,5.791912174570921
43.503,7.342504427136099
49.741,8.567427856679354
56.574,9.536111109430744
64.058,10.331666959653056
72.256,11.009041609692071
81.234,11.600570053780123
91.068,12.126830652683756
101.84,12.601960529808027
113.638,13.035481377806413
126.56,13.433455759801223
140.714,13.799657391973918
156.216,14.136116639242276
173.196,14.443070888656774
191.794,14.719036345841936
212.165,14.960949604003346
234.477,15.164098726601262
258.915,15.321683409157089
285.682,15.4239479403066
315.0,15.460627171404322
