y_plus_wavy,U_plus
0.0,0.0
2.085,-0.13743496003307903
4.369,-0.33346024615517855
6.87,-0.506640792609398
9.61,-0.6096731168726565
12.61,-0.5815594617299219
15.897,-0.36622514058410677
19.497,0.11673469254391886
23.44,1.0200870094752148
27.759,2.4643674291002533
32.489,4.275784567571558
37.67,6.059342908283508
43.345,7.553413867323711
49.561,8.725227184150873
56.369,9.654285904102924
63.826,10.421453035611432
71.994,11.077844415700275
80.94,11.653386118587681
90.738,12.167475526891232
101.471,12.633384260896277
113.226,13.059851804808533
126.101,13.45234025956233
140.203,13.815328833885715
140.204,13.814037955255317
155.65,14.14714489891244
172.568,14.450986800469531
172.569,14.451881971127778
191.099,14.724790016178007
211.395,14.9647604496
211.396,14.964744891125635
233.626,15.166195247028572
233.627,15.166363842309012
257.976,15.322636400324393
257.977,15.322978638710405
284.646,15.424054000186773
284.647,15.42448480826748
313.858,15.460660245646258
313.859,15.460700675666665
