y_plus_wavy,U_plus
0.0,0.0
2.075,-0.12762427076254493
4.477,-0.39424583417038095
7.256,-0.6499130895279952
10.473,-0.744210859666603
14.195,-0.5702296298304002
18.503,-0.02040920967439381
23.489,1.0258564290850967
29.259,2.7389490440555724
35.936,4.884901917893469
43.664,6.920836682184051
52.607,8.590009610592382
62.958,9.903254503930992
74.936,10.951170919702083
88.799,11.815698798732821
104.842,12.553333257822773
123.408,13.1983890594308
144.896,13.768715245673835
169.763,14.270014013620493
198.542,14.698038918630992
231.847,15.038363883383191
270.392,15.26330166755173
315.0,15.345125192053946
