y_plus,U_plus
-5.741,0.0
-5.74,0.0
-5.739,0.0
-3.71,-0.15738393949512072
-3.709,-0.15712211522698577
-3.708,-0.15998736186833332
-1.485,-0.3029450157873696
-1.484,-0.3035453673987443
0.951,-0.3782517020370433
0.952,-0.38664462245550746
0.953,-0.3940309847677993
3.62,-0.3105079364357438
3.621,-0.33362232887335364
3.622,-0.36124871190891666
6.543,0.032019640877567646
6.544,-0.018672379940291157
6.545,-0.014282679469885845
9.745,0.7412283713611122
9.746,0.6959520838608609
13.252,1.9141988671991212
13.253,1.8882634878509243
17.093,3.4543187141045393
17.094,3.4395158067464067
21.3,5.088963047709637
21.301,5.089171963618898
25.908,6.5867672841781735
25.909,6.590463931878389
30.955,7.832833840211586
30.956,7.83477750964793
30.957,7.8337737711174995
36.483,8.835132990062611
36.484,8.840452437386514
36.485,8.829508053074356
42.538,9.658498314619132
42.539,9.660466967920609
42.54,9.654421846529962
49.171,10.355116850946771
49.172,10.352237788348486
56.435,10.960250958145984
56.436,10.95844719345
64.391,11.4981203814001
64.392,11.49697402347538
73.106,11.984073166300659
73.107,11.982117408298105
82.651,12.429680657820489
82.652,12.427589680761741
93.105,12.840953366695654
93.106,12.84167802769432
104.557,13.225328765237322
117.099,13.583277923134466
117.1,13.582693544427523
130.837,13.916276534593619
145.883,14.224992385269566
145.884,14.225390182560602
162.364,14.509198697709685
162.365,14.50937341932498
180.416,14.766050302971983
200.188,14.992051947517183
221.844,15.182482342297972
245.563,15.330515412045719
245.564,15.33059070248593
271.544,15.426605065363093
300.0,15.46094314516128
328.456,15.426605121512557
354.436,15.33059084911805
354.437,15.330515494306589
378.156,15.182482543898194
399.812,14.99205223589028
419.584,14.766050696932044
437.635,14.509373986130413
437.636,14.509199095150592
454.116,14.225390889093642
454.117,14.224992871547826
469.163,13.916277404291993
482.9,13.582695477692425
482.901,13.583278534786245
495.443,13.225330180217334
506.894,12.841679905634072
506.895,12.840954793200002
517.348,12.427594546227272
517.349,12.42968221262536
526.893,11.982123452341666
526.894,11.984075371563833
535.608,11.496979289798862
535.609,11.498123567228657
543.564,10.958457445029167
543.565,10.960254994683533
550.828,10.352251365022159
550.829,10.355121938341306
557.46,9.654439660177385
557.461,9.660472855190879
557.462,9.658504910274784
563.515,8.829531026119355
563.516,8.84045862146842
563.517,8.835141370798263
569.043,7.833822088818334
569.044,7.834784213232443
569.045,7.83284171818635
574.091,6.590481330115577
574.092,6.58677408690322
578.699,5.089190133760677
578.7,5.088970128662708
582.906,3.4395325860307997
582.907,3.4543264082230505
586.747,1.8882789540414073
586.748,1.9142053171030622
590.254,0.6959591505205039
590.255,0.7412363884956797
593.455,-0.014276138079094978
593.456,-0.018669292629188983
593.457,0.03202569941843725
596.378,-0.3612451979870833
596.379,-0.3336225971891421
596.38,-0.31049958341868644
599.047,-0.3940321832921856
599.048,-0.3866427425240829
599.049,-0.37824807643113023
601.484,-0.30354629149045265
601.485,-0.30294270991387556
603.708,-0.15998871242850002
603.709,-0.15712223230623637
603.71,-0.1573820028102531
605.739,0.0
605.74,0.0
605.741,0.0
