y_plus,U_plus
-15.0,0.0
-12.902,-0.14485308388217255
-9.938,-0.4465913009879096
-5.754,-0.6845339646408636
0.155,-0.3865226210307441
8.498,1.1219002814980596
20.28,4.072315145170363
36.918,7.434152585412684
60.411,10.283525487647378
93.587,12.461751457409196
140.433,14.025961374452889
206.586,14.971551430903796
300.0,15.297235107672929
393.414,14.971549749419736
459.567,14.02596009433417
506.413,12.461751443605454
539.589,10.283526715768392
563.082,7.434154210058283
579.72,4.07231627597959
591.502,1.1219005183939217
599.845,-0.38652279351190566
605.754,-0.6845339950150593
609.938,-0.4465913968794193
612.902,-0.1448531485701918
615.0,0.0
