y_plus_wavy,U_plus
0.0,0.0
1.976,-0.22250829997385552
4.263,-0.24214502102767144
4.264,-0.23928507214413078
6.91,0.06389890582498262
6.911,-0.031305505977999144
9.974,0.7703028344470468
13.519,1.938990878867559
17.622,3.447071315550399
22.37,5.085436269465686
27.865,6.643556311500873
34.225,8.005898625034156
41.584,9.158421174045863
41.585,9.156891327827339
50.102,10.128069634055962
59.959,10.959571166993104
59.96,10.95900113507632
71.367,11.685253901767243
71.368,11.68501563732138
84.57,12.3326687969
99.849,12.919861897356322
99.85,12.921271784
117.531,13.457781405684482
117.532,13.456773430918389
137.995,13.947469706631036
137.996,13.946255479884138
161.678,14.386767071082758
161.679,14.385076029442816
161.68,14.387368116000001
189.087,14.766098237043678
189.088,14.766379988490804
220.806,15.072063227994828
220.807,15.06970365080862
220.808,15.07196035198659
257.515,15.274102401441379
257.516,15.2734474889
257.517,15.272905107617012
299.999,15.346775117663793
300.0,15.344790072798276
300.001,15.34675937432682
