y_plus,U_plus
-8.818,0.0
-8.817,0.0
-8.816,0.0
-6.783,-0.34710209834668315
-6.782,-0.3496786387242222
-6.781,-0.3608593008594533
-4.429,-0.7166256671105171
-4.428,-0.6514842705784238
-4.427,-0.7166870174525867
-1.704,-0.8329364896705179
-1.703,-0.7228520981102832
-1.702,-0.8220694709271986
1.449,-0.5153680236895377
1.45,-0.4151142923281757
1.451,-0.43448592373662087
5.099,0.24188205059589726
5.1,0.3268108232734172
9.322,1.3340560928517968
9.323,1.4326510738744478
9.324,1.382946461032833
14.21,2.7587681578248304
14.211,2.821878679474992
14.212,2.778142943721809
19.867,4.480790808210645
19.868,4.486514864220311
26.413,6.242710868708499
26.414,6.263957116285861
26.415,6.254031171210566
33.989,7.866861559287331
33.99,7.876870378607595
33.991,7.880538197825024
42.757,9.2246518417275
42.758,9.232010175684277
42.759,9.23339404
52.904,10.334676958666666
52.905,10.335947890685931
52.906,10.338132106895795
64.648,11.249842507341592
64.649,11.251932832750835
78.238,12.023660001771667
78.239,12.02867090772571
93.966,12.701664063373332
93.967,12.705306809927212
93.968,12.705411956018182
112.169,13.304303590062892
112.17,13.307504187837353
133.234,13.841593114853334
133.235,13.842891797113305
157.613,14.31770987566
157.614,14.318256267157752
185.827,14.72624808124
185.828,14.726310658884737
218.479,15.052652317956667
218.48,15.051933650482173
256.268,15.267375754517447
300.0,15.34548151559486
343.732,15.267373574409504
381.52,15.051929551658063
381.521,15.052647892613333
414.172,14.726304657760274
414.173,14.726241879853333
442.386,14.318248581628461
442.387,14.317702123615
466.765,13.842882866730156
466.766,13.841584027205
487.83,13.307495826701418
487.831,13.304293360101045
506.032,12.70540385161818
506.033,12.70529927439689
506.034,12.701653070694999
521.761,12.028667544776388
521.762,12.023653639243333
535.351,11.251936332588874
535.352,11.249848551098712
547.094,10.338146925972158
547.095,10.335965117618915
547.096,10.334692521486666
557.241,9.23342057534818
557.242,9.232032385803276
557.243,9.224679144874997
566.009,7.880562358853719
566.01,7.876895034891416
566.011,7.866883927967997
573.585,6.254045138674373
573.586,6.263974804461963
573.587,6.242725324692666
580.132,4.486521803779178
580.133,4.4807964375939475
585.788,2.778117330859991
585.789,2.8218780666599192
585.79,2.758782403639997
590.676,1.3829324228274988
590.677,1.432646663080139
590.678,1.3340707858001968
594.9,0.3268014492176554
594.901,0.2418936961733806
598.549,-0.434487977397667
598.55,-0.41512208884730745
598.551,-0.5153575568157044
601.702,-0.8220498600929033
601.703,-0.7228562362027049
601.704,-0.8329429326836513
604.427,-0.7166704258021661
604.428,-0.6514851540301366
604.429,-0.7166349062785671
606.781,-0.3608371471218169
606.782,-0.34967672062707894
606.783,-0.3471045306154832
608.816,0.0
608.817,0.0
608.818,0.0
