y_plus_wavy,U_plus
0.0,0.0
1.996,-0.44708767264196203
4.231,-0.34717326062897585
6.734,0.19682723517026712
9.537,1.0648779669132336
12.677,2.1245176915484913
12.678,2.115817993397814
16.194,3.332872374412006
20.133,4.655151260416778
24.545,6.001094795372097
29.486,7.275588395284161
35.019,8.406835023787021
35.02,8.401192937073024
41.217,9.36510611527321
41.218,9.36113573969916
48.159,10.172800304949316
55.934,10.869148757763952
64.641,11.483741903222965
64.642,11.482795479667967
74.394,12.036291700556419
85.316,12.542731693317458
85.317,12.539202262124588
97.55,13.00489615513051
97.551,13.004107020114287
111.251,13.436453985314936
111.252,13.433982493499302
126.597,13.833301759059044
126.598,13.832287080106502
143.784,14.201617618237012
143.785,14.200100413741191
163.034,14.53585755518352
163.035,14.53518619201501
184.594,14.834389053274544
184.595,14.83384750846434
208.74,15.089869366045454
208.741,15.08956900210506
208.742,15.089195891939879
235.785,15.291320812447017
235.786,15.29083944286087
235.787,15.291227027219048
266.075,15.423352535838436
266.076,15.423050555608484
299.999,15.470877557499639
300.0,15.470395536212216
300.001,15.470399275340235
